ticker,yf_ticker,company_name,sector_sp500,industry_sp500,current_price,market_cap,analyst_target_mean,analyst_target_median,analyst_target_low,analyst_target_high,analyst_upside_pct,analyst_count,analyst_dispersion_pct,fundamental_target_mean,fundamental_upside_pct,target_price_pe,target_price_ev_ebitda,target_price_fcf,valuation_method_count,forward_pe,sector_forward_pe,forward_eps,fcf_yield_pct,revenue_growth_pct,earnings_growth_pct,ebitda_margin_pct,net_margin_pct,roe_pct,net_debt_ebitda,return_3m_pct,return_6m_pct,return_12m_pct,volatility_12m_pct,max_drawdown_12m_pct,ml_start_price,ml_target_price_12m,ml_predicted_return_12m_pct,ml_outperform_probability_pct,ml_rank_percentile,ml_signal,ml_forecast_date,ml_maturity_date,fundamental_score,analyst_score,ml_score,quality_score,consistency_score,risk_safety_score,data_completeness_pct,final_score,sp500_rank,final_rank_percentile,final_category,qualified_strong_candidate
ADSK,ADSK,Autodesk,Information Technology,Application Software,217.9,45541097472.0,315.36765,312.5,220.5,456.0,44.73,36.0,74.67,315.2,44.65,257.05,217.9,470.64,3,15.329524,18.08,14.2144,6.93,16.1,59.6,29.34,21.08,53.85,-0.2,-5.24,-16.51,-31.89,36.84,-42.56,217.9,295.01,35.39,63.68,85.37,STRONG,2026-09-07,2027-09-07,84.82999508814059,78.70403481613927,76.694,62.11267390540767,99.95,33.95371996205161,100.0,77.13,1,100.0,Güçlü Aday,True
MU,MU,Micron Technology,Information Technology,Semiconductors,1016.59,1148129771520.0,1513.1111,1540.0,361.0,2200.0,48.84,48.0,121.54,1407.7,38.47,2803.46,1208.9,210.72,3,6.5575776,18.08,155.02524,0.67,345.7,1368.5,75.57,55.91,66.64,-0.29,17.68,174.69,719.76,81.47,-39.1,1016.59,1704.26,67.65,60.24,97.6,STRONG,2026-09-07,2027-09-07,68.48168967963761,78.77987511950049,82.656,81.30506050101047,92.78,25.503102531215106,100.0,76.29,2,99.8,Güçlü Aday,True
ON,ON,ON Semiconductor,Information Technology,Semiconductors,74.38,28957517824.0,107.08,105.0,85.0,150.0,43.96,29.0,60.7,106.06,42.59,81.9,103.72,132.56,3,16.422688,18.08,4.5291,5.72,9.2,36.6,33.72,10.17,8.31,0.4,-36.57,30.79,54.76,61.42,-46.29,74.38,124.14,66.89,64.07,97.19,STRONG,2026-09-07,2027-09-07,82.98204442503956,78.04983219932879,83.942,42.81073899299033,99.04,23.22061945727562,100.0,74.83,3,99.6,Güçlü Aday,True
NXPI,NXPI,NXP Semiconductors,Information Technology,Semiconductors,227.84,57451827200.0,311.10345,310.0,190.0,400.0,36.55,30.0,67.5,377.37,65.63,327.23,365.69,439.2,3,12.590971,18.08,18.09511,6.19,19.5,72.6,38.44,22.56,27.92,1.53,-22.76,13.91,2.88,48.82,-32.92,227.84,320.37,40.61,55.77,88.98,NEUTRAL,2026-09-07,2027-09-07,87.4392839600502,76.00382401529605,75.696,64.50985782135275,80.75,19.925640654658267,100.0,74.73,4,99.4,Güçlü Aday,True
FSLR,FSLR,First Solar,Information Technology,Semiconductors,204.45,21972199424.0,275.30466,274.5,150.0,402.0,34.66,35.0,91.53,444.52,117.42,417.97,452.17,463.42,3,8.845697,18.08,23.11293,7.28,-3.7,23.3,44.36,32.46,18.51,-0.64,-26.72,8.05,1.28,52.79,-37.4,204.45,284.2,39.01,57.6,88.18,STRONG,2026-09-07,2027-09-07,94.34208371991487,74.03549614198457,75.94800000000001,56.03971635538044,52.98,30.406772721891944,100.0,72.6,5,99.2,Güçlü Aday,True
HPE,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",52.0,69028167680.0,67.7795,67.5,52.0,88.0,30.35,23.0,53.11,95.12,82.92,82.39,91.75,111.2,3,11.412894,18.08,4.55625,6.86,33.7,410.2,16.46,6.67,10.94,2.05,6.0,148.41,129.2,53.29,-26.36,52.0,76.71,47.53,62.64,91.78,STRONG,2026-09-07,2027-09-07,90.77116192763194,69.21331685326741,80.124,50.42696863721283,66.43,25.583383057408156,100.0,72.05,6,99.01,Güçlü Aday,True
DECK,DECK,Deckers Brands,Consumer Discretionary,Footwear,85.81,11685765120.0,122.80952,120.0,85.0,184.0,43.12,26.0,80.61,147.42,71.8,140.3,142.78,159.18,3,10.26061,16.78,8.36305,7.46,5.7,1.1,24.01,18.36,42.56,-0.85,-20.64,-17.69,-30.75,44.87,-33.94,85.81,108.87,26.88,45.13,72.55,NEUTRAL,2026-09-07,2027-09-07,89.86142386973845,73.54921419685678,61.581999999999994,63.10117829544286,81.79,35.97584746922889,100.0,72.01,7,98.81,Güçlü Aday,True
INTU,INTU,Intuit,Information Technology,Application Software,332.7,91005763584.0,405.6,400.0,290.0,732.0,21.91,34.0,108.97,572.39,72.05,494.17,489.73,733.28,3,12.175089,18.08,27.32629,7.07,13.7,-0.8,31.93,21.29,23.6,0.17,12.61,-30.34,-49.66,48.4,-63.42,332.7,516.49,55.24,70.99,94.39,STRONG,2026-09-07,2027-09-07,90.12388800960541,62.49344997379989,85.03,51.41430338571494,65.89,20.550176717169737,100.0,71.62,8,98.61,Güçlü Aday,True
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals,126.28,14901678080.0,172.564,172.5,83.28,225.0,36.65,22.0,82.13,225.51,78.58,176.8,141.35,358.4,3,11.177941,15.65,11.29725,8.95,31.1,,25.09,3.79,2.65,0.25,-18.55,-21.8,61.46,58.6,-47.38,126.28,161.6,27.97,59.84,74.95,NEUTRAL,2026-09-07,2027-09-07,93.18725099601593,67.5742702970812,68.906,65.6,73.4,28.731243799726688,93.75,71.29,9,98.41,Güçlü Aday,True
HON,HON,Honeywell Technologies,Industrials,Industrial Conglomerates,209.61,66433794048.0,263.4091,265.0,186.0,303.0,25.67,23.0,44.42,272.09,29.81,200.82,365.11,250.34,3,20.987717,20.11,9.98727,3.93,4.3,263.9,22.37,21.58,46.58,3.03,-6.31,-14.33,0.49,27.02,-20.11,209.61,265.3,26.57,42.85,70.94,NEUTRAL,2026-09-07,2027-09-07,77.66907055323011,67.87063148252594,59.704,70.81165601780874,96.76,46.959900745096846,100.0,70.56,10,98.21,Güçlü Aday,True
